OF,OF,OF,OF,seconds,seconds
pdp,greedy,absolute,%,pdp,greedy
628.0,600.0,28,4.45859872611465,0.0007600999999795,0.2169545999986439
607.0,607.0,0,0.0,0.0005345000000147,0.0671299999994516
794.0,627.0,167,21.03274559193955,0.000526700000023,0.0210974000001442
611.0,591.0,20,3.273322422258593,0.0006174999999757,0.0509689999998954
643.0,610.0,33,5.132192846034215,0.0005246000000056,0.0205681000006734
688.0,548.0,140,20.348837209302324,0.0005088999999998,0.0322794999992765
608.0,577.0,31,5.098684210526316,0.0005183999999758,0.0167591999997966
743.0,558.0,185,24.89905787348587,0.0005261999999675,0.0199739000017871
779.0,582.0,197,25.288831835686775,0.0005020000000399,0.0176323000014235
627.0,579.0,48,7.655502392344498,0.0005317000000104,0.0203437999989546
881.0,573.0,308,34.96027241770715,0.0015640999999959,0.0190639000011287
669.0,553.0,116,17.339312406576983,0.0007990999999947,0.0141089999997348
724.0,659.0,65,8.977900552486188,0.0013015000000109,0.0180061999999452
765.0,575.0,190,24.836601307189543,0.0035753999999883,0.0219954000003781
663.0,554.0,109,16.440422322775262,0.0010138000000097,0.0167418000000907
861.0,619.0,242,28.1068524970964,0.000934500000028,0.0248420000007172
767.0,633.0,134,17.470664928292045,0.0009621000000379,0.0209611000009317
747.0,693.0,54,7.228915662650602,0.0005820999999741,0.0200839999997697
638.0,490.0,148,23.197492163009404,0.0005277000000205,0.0160426000002189
565.0,559.0,6,1.0619469026548671,0.0006008999999949,0.0167536999997537
1.0,19.0,,,,
700.4,589.35,111.05,14.840407713406563,0.00087059000000234,0.03361537500013577
